rank,music,main_artist,year,featuring1,featuring2,photo,id_music,id_position,danceability,energy,loudness,speechiness,acousticness,instrumentalness,tempo,uri,duration_ms
22,London Bridge,Fergie,2006,,,https://charts-static.billboard.com/img/2006/07/fergie-8pu-53x53.jpg,7jRoWfRlLnGYEIEn4t4kbq,21,0.769,0.609,-5.894,0.357,0.216,0.0,90.951,spotify:track:7jRoWfRlLnGYEIEn4t4kbq,241307.0
23,Dani California,Red Hot Chili Peppers,2006,,,https://charts-static.billboard.com/img/1984/09/red-hot-chili-peppers-v42-53x53.jpg,10Nmj3JCNoMeBQ87uw5j8k,22,0.556,0.913,-2.36,0.0437,0.0193,8.59e-06,96.184,spotify:track:10Nmj3JCNoMeBQ87uw5j8k,282160.0
24,Snap Yo Fingers,Lil Jon,2006,E-40,Sean Paul Of The YoungBloodZ,https://charts-static.billboard.com/img/2005/12/lil-jon-cje-53x53.jpg,,23,,,,,,,,,
25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz,2006,Lil Peanut,Charlay,https://charts-static.billboard.com/img/2005/11/dem-franchize-boyz-a35-53x53.jpg,7cVmKBwzPsh4Fmb6SplfEm,24,0.886,0.62,-5.854,0.307,0.082,0.0,76.035,spotify:track:7cVmKBwzPsh4Fmb6SplfEm,229813.0
26,What Hurts The Most,Rascal Flatts,2006,,,https://charts-static.billboard.com/img/2006/01/rascal-flatts-o8u-53x53.jpg,4bVuIlGQBMWS7vIhcx8Ae4,25,0.537,0.674,-5.134,0.0277,0.0088,0.0,136.002,spotify:track:4bVuIlGQBMWS7vIhcx8Ae4,214107.0
27,How To Save A Life,The Fray,2006,,,https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg,50FcngS8mGjEttXk6G2xkh,26,0.637,0.734,-4.038,0.0384,0.282,0.0,122.028,spotify:track:50FcngS8mGjEttXk6G2xkh,264213.0
28,Unfaithful,Rihanna,2006,,,https://charts-static.billboard.com/img/2005/06/rihanna-t38-53x53.jpg,13xxBnXOuiBxVxJI458B0i,27,0.588,0.391,-8.607,0.0334,0.839,0.0,144.069,spotify:track:13xxBnXOuiBxVxJI458B0i,226973.0
29,Chasing Cars,Snow Patrol,2006,,,https://charts-static.billboard.com/img/1840/12/snow-patrol-45e-53x53.jpg,11bD1JtSjlIgKgZG2134DZ,28,0.563,0.592,-4.571,0.0276,0.209,5.08e-05,104.016,spotify:track:11bD1JtSjlIgKgZG2134DZ,267933.0
30,Lips Of An Angel,Hinder,2006,,,https://charts-static.billboard.com/img/2006/04/hinder-iwo-53x53.jpg,40LQiUUUKXVGyNs09lHVjW,29,0.476,0.736,-5.38,0.0343,0.0217,1.08e-06,129.084,spotify:track:40LQiUUUKXVGyNs09lHVjW,261853.0
31,Everytime We Touch,Cascada,2006,,,https://charts-static.billboard.com/img/2005/09/cascada-tir-53x53.jpg,1eOHw1k2AoluG4VyjBHLzX,30,0.635,0.974,-5.373,0.052,0.00474,1.56e-05,142.049,spotify:track:1eOHw1k2AoluG4VyjBHLzX,196467.0
32,Ain't No Other Man,Christina Aguilera,2006,,,https://charts-static.billboard.com/img/2006/06/christina-aguilera-9ag-53x53.jpg,,31,,,,,,,,,
33,"Dance, Dance",Fall Out Boy,2006,,,https://charts-static.billboard.com/img/2005/10/fall-out-boy-zhw-53x53.jpg,0a7BloCiNzLDD9qSQHh5m7,32,0.62,0.961,-3.198,0.154,0.00523,0.0,114.448,spotify:track:0a7BloCiNzLDD9qSQHh5m7,180267.0
34,Gold Digger,Kanye West,2006,Jamie Foxx,,https://charts-static.billboard.com/img/2005/07/kanye-west-nwz-gold-digger-g7e-53x53.jpg,1PS1QMdUqOal0ai3Gt7sDQ,33,0.631,0.696,-5.572,0.348,0.0192,0.0,92.941,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,207627.0
35,Money Maker,Ludacris,2006,Pharrell,,https://charts-static.billboard.com/img/2006/07/ludacris-5cn-53x53.jpg,2JpUkUR0OsOlUUfm6iS8ic,34,0.464,0.598,-6.79,0.27,0.149,0.0,79.732,spotify:track:2JpUkUR0OsOlUUfm6iS8ic,230613.0
36,Ms. New Booty,Bubba Sparxxx,2006,Ying Yang Twins,Mr. ColliPark,https://charts-static.billboard.com/img/2005/12/bubba-sparxxx-y2o-53x53.jpg,0k6HUzaRHpQ3eEWr1C7Esh,35,0.64,0.62,-5.931,0.416,0.016,0.0,129.37,spotify:track:0k6HUzaRHpQ3eEWr1C7Esh,252653.0
37,(When You Gonna) Give It Up To Me,Sean Paul,2006,Keyshia Cole,,https://charts-static.billboard.com/img/2006/04/sean-paul-uyx-53x53.jpg,,36,,,,,,,,,
38,Photograph,Nickelback,2006,,,https://charts-static.billboard.com/img/2017/07/nickelback-53x53.jpg,3hb2ScEVkGchcAQqrPLP0R,37,0.513,0.877,-3.756,0.0292,0.000932,0.000163,145.919,spotify:track:3hb2ScEVkGchcAQqrPLP0R,258920.0
39,Because Of You,Kelly Clarkson,2006,,,https://charts-static.billboard.com/img/2005/08/kelly-clarkson-091-53x53.jpg,,38,,,,,,,,,
40,Stickwitu,The Pussycat Dolls,2006,,,https://charts-static.billboard.com/img/2005/10/the-pussycat-dolls-t1l-53x53.jpg,4NjR63Up0uMkQBlKvlZd1l,39,0.655,0.54,-6.482,0.0516,0.268,0.0,79.983,spotify:track:4NjR63Up0uMkQBlKvlZd1l,207507.0
41,I'm N Luv (Wit A Stripper),T-Pain,2006,Mike Jones,,https://charts-static.billboard.com/img/2005/12/t-pain-kj8-53x53.jpg,,40,,,,,,,,,
42,My Humps,The Black Eyed Peas,2006,,,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-b9u-53x53.jpg,,41,,,,,,,,,
43,Where'd You Go,Fort Minor,2006,Holly Brook,,https://charts-static.billboard.com/img/2006/04/fort-minor-57z-53x53.jpg,,42,,,,,,,,,
44,Yo (Excuse Me Miss),Chris Brown,2006,,,https://charts-static.billboard.com/img/2005/07/chris-brown-abf-53x53.jpg,,43,,,,,,,,,
45,Walk Away,Kelly Clarkson,2006,,,https://charts-static.billboard.com/img/2005/12/kelly-clarkson-091-53x53.jpg,,44,,,,,,,,,
